Buying;Maintenance;Doors;Person;lug_boot;safety;class
vhigh;vhigh;2doors;2people;small;low;unacc
vhigh;vhigh;2doors;2people;small;med;unacc
vhigh;vhigh;2doors;2people;small;high;unacc
vhigh;vhigh;2doors;2people;med;low;unacc
vhigh;vhigh;2doors;2people;med;med;unacc
vhigh;vhigh;2doors;2people;med;high;unacc
vhigh;vhigh;2doors;2people;big;low;unacc
vhigh;vhigh;2doors;2people;big;low;unacc
vhigh;vhigh;2doors;2people;big;med;unacc
vhigh;vhigh;2doors;2people;big;high;unacc
vhigh;vhigh;2doors;4people;small;low;unacc
vhigh;vhigh;2doors;4people;small;med;unacc
vhigh;vhigh;2doors;4people;small;med;unacc
vhigh;vhigh;2doors;4people;small;high;unacc
vhigh;vhigh;2doors;4people;med;low;unacc
vhigh;vhigh;2doors;4people;med;med;unacc
vhigh;vhigh;2doors;4people;med;high;unacc
vhigh;vhigh;2doors;4people;big;low;unacc
vhigh;vhigh;2doors;4people;big;med;unacc
vhigh;vhigh;2doors;4people;big;high;unacc
vhigh;vhigh;2doors;more;small;low;unacc
vhigh;vhigh;2doors;more;small;med;unacc
vhigh;vhigh;2doors;more;small;high;unacc
vhigh;vhigh;2doors;more;med;low;unacc
vhigh;vhigh;2doors;more;med;med;unacc
vhigh;vhigh;2doors;more;med;high;unacc
vhigh;vhigh;2doors;more;big;low;unacc
vhigh;vhigh;2doors;more;big;low;unacc
vhigh;vhigh;2doors;more;big;med;unacc
vhigh;vhigh;2doors;more;big;high;unacc
vhigh;vhigh;3doors;2people;small;low;unacc
vhigh;vhigh;3doors;2people;small;med;unacc
vhigh;vhigh;3doors;2people;small;high;unacc
vhigh;vhigh;3doors;2people;med;low;unacc
vhigh;vhigh;3doors;2people;med;med;unacc
vhigh;vhigh;3doors;2people;med;high;unacc
vhigh;vhigh;3doors;2people;big;low;unacc
vhigh;vhigh;3doors;2people;big;med;unacc
vhigh;vhigh;3doors;2people;big;high;unacc
vhigh;vhigh;3doors;4people;small;low;unacc
vhigh;vhigh;3doors;4people;small;med;unacc
vhigh;vhigh;3doors;4people;small;high;unacc
vhigh;vhigh;3doors;4people;small;high;unacc
vhigh;vhigh;3doors;4people;med;low;unacc
vhigh;vhigh;3doors;4people;med;med;unacc
vhigh;vhigh;3doors;4people;med;high;unacc
vhigh;vhigh;3doors;4people;big;low;unacc
vhigh;vhigh;3doors;4people;big;med;unacc
vhigh;vhigh;3doors;4people;big;high;unacc
vhigh;vhigh;3doors;more;small;med;unacc
vhigh;vhigh;3doors;more;small;high;unacc
vhigh;vhigh;3doors;more;small;high;unacc
vhigh;vhigh;3doors;more;med;low;unacc
vhigh;vhigh;3doors;more;med;med;unacc
vhigh;vhigh;3doors;more;med;high;unacc
vhigh;vhigh;3doors;more;big;low;unacc
vhigh;vhigh;3doors;more;big;med;unacc
vhigh;vhigh;3doors;more;big;high;unacc
vhigh;vhigh;4doors;2people;small;low;unacc
vhigh;vhigh;4doors;2people;small;low;unacc
vhigh;vhigh;4doors;2people;small;med;unacc
vhigh;vhigh;4doors;2people;small;high;unacc
vhigh;vhigh;4doors;2people;med;low;unacc
vhigh;vhigh;4doors;2people;med;med;unacc
vhigh;vhigh;4doors;2people;med;high;unacc
vhigh;vhigh;4doors;2people;big;low;unacc
vhigh;vhigh;4doors;2people;big;med;unacc
vhigh;vhigh;4doors;2people;big;high;unacc
vhigh;vhigh;4doors;4people;small;low;unacc
vhigh;vhigh;4doors;4people;small;med;unacc
vhigh;vhigh;4doors;4people;small;high;unacc
vhigh;vhigh;4doors;4people;med;low;unacc
vhigh;vhigh;4doors;4people;med;med;unacc
vhigh;vhigh;4doors;4people;med;high;unacc
vhigh;vhigh;4doors;4people;big;low;unacc
vhigh;vhigh;4doors;4people;big;med;unacc
vhigh;vhigh;4doors;4people;big;high;unacc
vhigh;vhigh;4doors;more;small;low;unacc
vhigh;vhigh;4doors;more;small;med;unacc
vhigh;vhigh;4doors;more;small;high;unacc
vhigh;vhigh;4doors;more;med;low;unacc
vhigh;vhigh;4doors;more;med;med;unacc
vhigh;vhigh;4doors;more;med;high;unacc
vhigh;vhigh;4doors;more;big;low;unacc
vhigh;vhigh;4doors;more;big;med;unacc
vhigh;vhigh;4doors;more;big;high;unacc
vhigh;vhigh;5more;2people;small;low;unacc
vhigh;vhigh;5more;2people;small;med;unacc
vhigh;vhigh;5more;2people;small;high;unacc
vhigh;vhigh;5more;2people;med;low;unacc
vhigh;vhigh;5more;2people;med;med;unacc
vhigh;vhigh;5more;2people;med;high;unacc
vhigh;vhigh;5more;2people;big;low;unacc
vhigh;vhigh;5more;2people;big;med;unacc
vhigh;vhigh;5more;2people;big;high;unacc
vhigh;vhigh;5more;4people;small;low;unacc
vhigh;vhigh;5more;4people;small;med;unacc
vhigh;vhigh;5more;4people;small;high;unacc
vhigh;vhigh;5more;4people;med;low;unacc
vhigh;vhigh;5more;4people;med;med;unacc
vhigh;vhigh;5more;4people;med;high;unacc
vhigh;vhigh;5more;4people;big;low;unacc
vhigh;vhigh;5more;4people;big;med;unacc
vhigh;vhigh;5more;4people;big;high;unacc
vhigh;vhigh;5more;more;small;low;unacc
vhigh;vhigh;5more;more;small;med;unacc
vhigh;vhigh;5more;more;small;high;unacc
vhigh;vhigh;5more;more;med;low;unacc
vhigh;vhigh;5more;more;med;med;unacc
vhigh;vhigh;5more;more;med;high;unacc
vhigh;vhigh;5more;more;big;low;unacc
vhigh;vhigh;5more;more;big;med;unacc
vhigh;vhigh;5more;more;big;high;unacc
vhigh;high;2doors;2people;small;low;unacc
vhigh;high;2doors;2people;small;med;unacc
vhigh;high;2doors;2people;small;high;unacc
vhigh;high;2doors;2people;med;low;unacc
vhigh;high;2doors;2people;med;med;unacc
vhigh;high;2doors;2people;med;high;unacc
vhigh;high;2doors;2people;big;low;unacc
vhigh;high;2doors;2people;big;med;unacc
vhigh;high;2doors;2people;big;high;unacc
vhigh;high;2doors;4people;small;low;unacc
vhigh;high;2doors;4people;small;med;unacc
vhigh;high;2doors;4people;small;high;unacc
vhigh;high;2doors;4people;med;low;unacc
vhigh;high;2doors;4people;med;med;unacc
vhigh;high;2doors;4people;med;high;unacc
vhigh;high;2doors;4people;big;low;unacc
